Ftests;d1Ftests;d2Ftests;FFtests;pvaluesFtests;ttests;dfttest;Tttest;pvaluesttests;pvalueSymbol;pvalueplain;effectsize;Mturk;LabStudy;FieldStudy;NoStudy;NoExperiment;Journal;Year;Issue;Article
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCR;16;6;JCR1606\document(1).pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCR;16;6;JCR1606\document(10).pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCR;16;6;JCR1606\document(2).pdf.txt
['f(1, 141) = 385.53, p < .01', 'f(1,80) = 14.8, p < .01', 'f(1, 264) = 217.81, p < .01', 'f(1, 125) = 110.36, p < .01', 'f(1, 125) = 32.50, p < .01', 'f(1, 125) = 6.66, p = .01', 'f(1, 125) = 3.61, p = .06', 'f(1, 125) = 3.05, p = .08'];['1', '1', '1', '1', '1', '1', '1', '1'];['141', '80', '264', '125', '125', '125', '125', '125'];['385.53', '14.8', '217.81', '110.36', '32.50', '6.66', '3.61', '3.05'];['.01', '.01', '.01', '.01', '.01', '.01', '.06', '.08'];['t(139) = 1.87, p = .06', 't(60) = 6.12, p < .01', 't(60) = 6.05, p < .01', 't(67) = 4.06, p < .01'];['139', '60', '60', '67'];['1.87', '6.12', '6.05', '4.06'];['.06', '.01', '.01', '.01'];[' p > .55', ' p < .01', ' p = .04', ' p = .05', ' p = .06', ' p < .01', ' p < .01', ' p = .01', ' p = .05', ' p = .05', ' p = .08', ' p = .08', ' p < .01', ' p 0.700', '(p > .80', '(p = .02', ' p < .01', ' p < .01', ' p < .01', ' p = .01', ' p < .01', ' p < .01', ' p = .01', ' p = .06', ' p = .08', '(p > .62', '(p < .05', '(p > .74'];['.55', '.01', '.04', '.05', '.06', '.01', '.01', '.01', '.05', '.05', '.08', '.08', '.01', '.700', '.80', '.02', '.01', '.01', '.01', '.01', '.01', '.01', '.01', '.06', '.08', '.62', '.05', '.74'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];['mturk', 'mturk'];[];[];['study 1', 'study 2', 'study 3', 'study 1', 'study 1', 'study 1', 'study 2', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 2', 'study 2', 'study 1', 'study 2', 'study 3', 'study 3', 'study 1', 'study 1', 'study 3', 'study 3', 'study 1', 'study 2', 'study 3', 'study 3', 'study 3', 'study 3', 'study 1', 'study 2', 'study 3'];[];JCR;16;6;JCR1606\document(3).pdf.txt
['f(1, 127) = 12.04, p < .01', 'f(1, 127) = 8.05, p < .01', 'f(1, 127) = 4.78, p < .05', 'f(1, 101) = 6.98, p = .01', 'f(3, 413) = 4.66, p < .01', 'f(3, 413) = 5.69, p < .05', 'f(3, 413) = 3.91, p < .05', 'f(3, 413) = 4.02, p < .05', 'f(1, 123) = 9.07, p < .01', 'f(1, 123) = 5.21, p < .05', 'f(1, 123) = 4.01, p < .05', 'f(1, 123) = 3.65, p = .05', 'f(1, 123) = 4.70, p < .05', 'f(1, 123) = 2.98, p = .08', 'f(1, 123) = 4.20, p < .05', 'f(1, 237) = 4.32, p < .05', 'f(1, 237) = 12.95, p < .01', 'f(1, 237) = 5.07, p < .05', 'f(2, 205) = 5.61, p < .01', 'f(1, 205) = 5.36, p < .05', 'f(1, 205) = 5.97, p < .05', 'f(1, 205) = 1.41, p > .22', 'f(2, 179) = 5.53, p < .01', 'f(1, 179) = 6.11, p = .01', 'f(1, 179) = 3.96, p < .05', 'f(1, 179) = 2.05, p = .15', 'f(3, 289) = 3.72, p = .01', 'f(1, 289) = 5.03, p < .05', 'f(1, 289) = 2.27, p = .13', 'f(1, 289) = 7.32, p < .01', 'f(1, 289) = 2.06, p = .15', 'f(2, 207) = 5.61, p < .01', 'f(1, 207) = 4.23, p < .05', 'f(1, 207) = 6.81, p = .01', 'f(3, 413) = 5.69, p < .05', 'f(3, 413) = 1.93, p = .16'];['1', '1', '1', '1', '3', '3', '3', '3', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '3', '1', '1', '1', '1', '2', '1', '1', '3', '3'];['127', '127', '127', '101', '413', '413', '413', '413', '123', '123', '123', '123', '123', '123', '123', '237', '237', '237', '205', '205', '205', '205', '179', '179', '179', '179', '289', '289', '289', '289', '289', '207', '207', '207', '413', '413'];['12.04', '8.05', '4.78', '6.98', '4.66', '5.69', '3.91', '4.02', '9.07', '5.21', '4.01', '3.65', '4.70', '2.98', '4.20', '4.32', '12.95', '5.07', '5.61', '5.36', '5.97', '1.41', '5.53', '6.11', '3.96', '2.05', '3.72', '5.03', '2.27', '7.32', '2.06', '5.61', '4.23', '6.81', '5.69', '1.93'];['.01', '.01', '.05', '.01', '.01', '.05', '.05', '.05', '.01', '.05', '.05', '.05', '.05', '.08', '.05', '.05', '.01', '.05', '.01', '.05', '.05', '.22', '.01', '.01', '.05', '.15', '.01', '.05', '.13', '.01', '.15', '.01', '.05', '.01', '.05', '.16'];['t(49) = 3.63, p < .01', 't(50) = 2.61, p = .01', 't(62) = 2.13, p < .05', 't(52) = 2.03, p < .05'];['49', '50', '62', '52'];['3.63', '2.61', '2.13', '2.03'];['.01', '.01', '.05', '.05'];[' p < .01', ' p < .01', ' p < .01', ' p < .05', ' p 76543216', ' p = .01', ' p < .01', ' p < .01', ' p < .05', ' p < .05', ' p < .05', ' p 7654321', ' p = .01', ' p < .01', ' p < .05', ' p < .05', ' p 76543215', ' p = .05', ' p < .05', ' p = .08', ' p < .05', ' p < .05', ' p < .01', ' p = .05', ' p < .05', ' p < .01', ' p < .01', ' p 876543216', ' p < .05', ' p < .01', ' p < .05', ' p < .05', ' p > .22', ' p < .01', ' p = .01', ' p < .05', ' p = .15', ' p 76543216', ' p < .05', ' p = .01', ' p < .05', ' p = .13', ' p < .01', ' p = .15', ' p 76543216', ' p 876543217', ' p < .01', ' p < .05', ' p = .01', ' p < .05', ' p = .16'];['.01', '.01', '.01', '.05', '.01', '.01', '.01', '.05', '.05', '.05', '.01', '.01', '.05', '.05', '.05', '.05', '.08', '.05', '.05', '.01', '.05', '.05', '.01', '.01', '.05', '.01', '.05', '.05', '.22', '.01', '.01', '.05', '.15', '.05', '.01', '.05', '.13', '.01', '.15', '.01', '.05', '.01', '.05', '.16'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];['mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk'];[];[];['study 1', 'study 2', 'study 1', 'study 3', 'study 4', 'study 5', 'study 5', 'study 6', 'study 6', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 2', 'study 1', 'study 2', 'study 1', 'study 2', 'study 2', 'study 2', 'study 3', 'study 3', 'study 3', 'study 1', 'study 2', 'study 3', 'study 3', 'study 1', 'study 3', 'study 3', 'study 3', 'study 4', 'study 4', 'study 4', 'study 4', 'study 4', 'study 5', 'study 3', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 5', 'study 6', 'study 6', 'study 6', 'study 1', 'study 1', 'study 1', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 2', 'study 3', 'study 3', 'study 3', 'study 3', 'study 4', 'study 1', 'study 1', 'study 1', 'study 2', 'study 3', 'study 3', 'study 4', 'study 6', 'study 6', 'study 3'];[];JCR;16;6;JCR1606\document(4).pdf.txt
['f(1, 57)= .11, p= .74', 'f(1, 68)= .69, p= .41', 'f(1, 190)= 44.00, p < .001', 'f(1, 190)= 8.39, p = .04', 'f(1, 190)= 2.42, p= .12', 'f(1, 190)= .28, p= .60', 'f(1, 190)= .70, p= .40', 'f(1, 130)= 2.94, p= .09', 'f(1, 130)= 138.86, p = .52', 'f(1, 130)= 2.38, p= .13', 'f(1, 130)= 149.88, p= .54', 'f(1, 130)= .04, p= .84', 'f(1, 470)= 52.93, p < .001', 'f(1, 470)= 60.80, p = .11', 'f(1, 470) = 25.96, p < .001', 'f(1, 450)= 3.62, p= .06', 'f(1, 450)= 3.80, p= .05', 'f(1, 450)= 6.61, p= .01', 'f(1, 450)= 13.11, p < .001', 'f(1, 235)= 7.47, p < .01', 'f(1, 214)= .04, p= .84', 'f(1, 450)= 7.91, p < .01', 'f(1, 450)= 1.20, p= .28', 'f(1, 450)= 15.30, p < .001', 'f(1, 450)= 0.001, p= .98', 'f(1, 318)= 6.27, p= .01', 'f(1, 318)= .21, p= .65', 'f(1, 318)= 9.10, p= .003', 'f(1, 318)= 3.01, p= .08', 'f(1, 69)= 9.69, p < .005', 'f(1, 69)= 7.82, p < .01', 'f(1, 69)= .36, p= .55', 'f(1, 69)= .07, p= .79'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['57', '68', '190', '190', '190', '190', '190', '130', '130', '130', '130', '130', '470', '470', '470', '450', '450', '450', '450', '235', '214', '450', '450', '450', '450', '318', '318', '318', '318', '69', '69', '69', '69'];['.11', '.69', '44.00', '8.39', '2.42', '.28', '.70', '2.94', '138.86', '2.38', '149.88', '.04', '52.93', '60.80', '25.96', '3.62', '3.80', '6.61', '13.11', '7.47', '.04', '7.91', '1.20', '15.30', '0.001', '6.27', '.21', '9.10', '3.01', '9.69', '7.82', '.36', '.07'];['.74', '.41', '.001', '.04', '.12', '.60', '.40', '.09', '.52', '.13', '.54', '.84', '.001', '.11', '.001', '.06', '.05', '.01', '.001', '.01', '.84', '.01', '.28', '.001', '.98', '.01', '.65', '.003', '.08', '.005', '.01', '.55', '.79'];['t(57)= 4.25, p < .001', 't(68)= .56, p= .58', 't(192)= 27.42, p < .001', 't(192)= 11.68, p < .001', 't(185)= 15.9, p < .001', 't(185)= 16.5, p < .001', 't(149)= 1.27, p= .21', 't(320)= 2.27, p= .02', 't(320)= 2.69, p < .01'];['57', '68', '192', '192', '185', '185', '149', '320', '320'];['4.25', '.56', '27.42', '11.68', '15.9', '16.5', '1.27', '2.27', '2.69'];['.001', '.58', '.001', '.001', '.001', '.001', '.21', '.02', '.01'];[' p < .001', ' p < .01', ' p = .01', ' p < .001', ' p < .001', ' p < .001', '(p < .001', ' p = .19', ' p < .001', ' p = .04', ' p < .01', ' p = .52', ' p < .001', ' p = .02', ' p < .001', ' p < .001', ' p < .001', ' p < .01', ' p < .001', ' p = .11', ' p < .001', ' p = .05', ' p < .001', ' p = .05', ' p < .001', ' p = .01', ' p = .03', ' p < .001', ' p < .01', ' p = .03', ' p = .02', ' p < .01', ' p = .03', ' p < .001', ' p < .01', ' p = .02', ' p = .03', ' p < .01', ' p < .001', ' p = .12', ' p < .005', ' p < .01', ' p = .001'];['.001', '.01', '.01', '.001', '.001', '.001', '.001', '.19', '.001', '.04', '.01', '.52', '.001', '.02', '.001', '.001', '.001', '.01', '.001', '.11', '.001', '.05', '.001', '.05', '.001', '.01', '.03', '.001', '.01', '.03', '.02', '.01', '.03', '.001', '.01', '.02', '.03', '.01', '.001', '.12', '.005', '.01', '.001'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];['mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk'];[];['field study', 'field study'];['study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 1', 'study 2', 'study 1', 'study 2', 'study 2', 'study 1', 'study 3', 'study 3', 'study 2', 'study 3', 'study 4', 'study 4', 'study 4', 'study 3', 'study 5', 'study 5', 'study 2', 'study 5', 'study 5', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 6', 'study 1', 'study 2', 'study 3', 'study 1', 'study 2', 'study 3', 'study 4', 'study 5', 'study 6', 'study 6'];['experiment 4', 'experiment 6'];JCR;16;6;JCR1606\document(5).pdf.txt
[];[];[];[];[];['t(47)= 3.14, p < .01', 't(47) = 3.53, p < .001', 't(47) = 4.13, p < .001', 't(47) = 3.96, p < .0001', 't(47) = 3.71, p < .001', 't(39) = 5.66, p < .0001', 't(39) = 1.74, p < .1'];['47', '47', '47', '47', '47', '39', '39'];['3.14', '3.53', '4.13', '3.96', '3.71', '5.66', '1.74'];['.01', '.001', '.001', '.0001', '.001', '.0001', '.1'];[' p < .01', ' p < .02', ' p < .001', ' p < .001', ' p < .0001', ' p < .001', ' p = .75', ' p = .75', ' p = .075', ' p = .025', ' p = .675', ' p = .75', ' p = .075', ' p = .025', ' p = .675', ' p = .75', ' p = .075', ' p = .025', ' p = .675', ' p = .075', ' p = .025', ' p = .675', ' p = .225', ' p < .05', ' p < .0001', ' p < .0001', ' p < .0001', ' p < .1'];['.01', '.02', '.001', '.001', '.0001', '.001', '.75', '.75', '.075', '.025', '.675', '.75', '.075', '.025', '.675', '.75', '.075', '.025', '.675', '.075', '.025', '.675', '.225', '.05', '.0001', '.0001', '.0001', '.1'];['d =', 'd =', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd =', 'd =', 'd =', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];[];[];[];['study 4', 'study 1', 'study 1', 'study 4', 'study 4', 'study 1', 'study 4', 'study 1', 'study 2', 'study 1', 'study 2', 'study 1', 'study 1', 'study 3', 'study 1', 'study 3', 'study 2', 'study 1', 'study 4', 'study 4', 'study 4', 'study 4', 'study 1', 'study 4', 'study 4', 'study 3', 'study 4'];[];JCR;16;6;JCR1606\document(6).pdf.txt
['f(1, 125) = 91.61, p < .001', 'f(1, 125) = 11.23, p = .001', 'f(1, 65) = 10.43, p < .01', 'f(1, 65) = 128.37, p < .001', 'f(1, 125) = 27.95, p < .001', 'f(1, 62) = 23.68, p < .001', 'f(1, 125) = 22.75, p < .001', 'f(1, 62) = 3.69, p = .06', 'f(1, 62) = 4.11, p < .05', 'f(1, 125) = 5.79, p = .02', 'f(1, 284) = 22.34, p < .001'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['125', '125', '65', '65', '125', '62', '125', '62', '62', '125', '284'];['91.61', '11.23', '10.43', '128.37', '27.95', '23.68', '22.75', '3.69', '4.11', '5.79', '22.34'];['.001', '.001', '.01', '.001', '.001', '.001', '.001', '.06', '.05', '.02', '.001'];['t(125) = 2.80, p < .01', 't(64) = .33, p = .74', 't(64) = 2.82, p = .006', 't(61) < 1, p = .42', 't(35) = 3.06, p = .004', 't(35) = 4.16, p < .001', 't(35) = 5.88, p < .001', 't(35) = 7.92, p < .001', 't(217) = 1.88, p = .06', 't(217) = 3.85, p < .001'];['125', '64', '64', '61', '35', '35', '35', '35', '217', '217'];['2.80', '.33', '2.82', '1', '3.06', '4.16', '5.88', '7.92', '1.88', '3.85'];['.01', '.74', '.006', '.42', '.004', '.001', '.001', '.001', '.06', '.001'];[' p < .001', ' p = .001', ' p < .01', ' p = .06', ' p < .01', ' p < .001', ' p < .001', ' p = .74', ' p = .006', ' p < .001', ' p = .03', ' p < .001', ' p < .001', ' p < .001', ' p = .06', ' p < .05', ' p = .42', ' p < .001', ' p > .30', ' p > .60', ' p > .30', ' p = .02', ' p > .50', ' p = .13', ' p = .06', ' p = .004', ' p < .001', ' p < .001', ' p < .001', ' p = .005', ' p = .003', ' p = .03', ' p = .05', ' p < .001', ' p = .008', ' p = .02', ' p = .01', ' p < .10', ' p = .05', ' p = .06', ' p < .001'];['.001', '.001', '.01', '.06', '.01', '.001', '.001', '.74', '.006', '.001', '.03', '.001', '.001', '.001', '.06', '.05', '.42', '.001', '.30', '.60', '.30', '.02', '.50', '.13', '.06', '.004', '.001', '.001', '.001', '.005', '.003', '.03', '.05', '.001', '.008', '.02', '.01', '.10', '.05', '.06', '.001'];['g =', 'g =', 'd=', 'd=', 'dp =', 'd=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd =', 'd=', 'd =', 'd =', 'd =', 'd =', 'd=', 'd=', 'd=', 'd =', 'd =', 'd =', 'd =', 'd =', 'd=', 'd=', 'd=', 'd=', 'd='];['mturk', 'mturk', 'mturk', 'mturk'];[];[];[];['experiment 3', 'experiment 4', 'experiment 5', 'experiment 1', 'experiment 2', 'experiment 3', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 3', 'experiment 3', 'experiment 1', 'experiment 2', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 4', 'experiment 5', 'experiment 4', 'experiment 4', 'experiment 4', 'experiment 5', 'experiment 4', 'experiment 5', 'experiment 4', 'experiment 5', 'experiment 5', 'experiment 4', 'experiment 4', 'experiment 1', 'experiment 2', 'experiment 3', 'experiment 5', 'experiment 3', 'experiment 5', 'experiment 5'];JCR;16;6;JCR1606\document(7).pdf.txt
['f(1, 162) = 7.38, p = .007', 'f(1, 162) = 2.99, p = .086', 'f(1, 148) = 4.77, p = .031', 'f(1, 115) = 8.71, p = .004', 'f(1, 115) = 2.43, p = .122', 'f(1, 115) = 4.15, p = .044', 'f(1, 115) = 4.96, p = .028', 'f(1, 115) = 2.78, p = .098', 'f(1, 107) = 5.58, p = .020', 'f(1, 156)=1.33, p = .250', 'f(1, 156)=0.05, p = .819', 'f(1, 156) = 4.09, p = .045', 'f(1, 156) = 0.15, p = .697', 'f(1, 222) = 8.26, p = .004', 'f(1, 222) = 16.19, p < .001'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['162', '162', '148', '115', '115', '115', '115', '115', '107', '156', '156', '156', '156', '222', '222'];['7.38', '2.99', '4.77', '8.71', '2.43', '4.15', '4.96', '2.78', '5.58', '1.33', '0.05', '4.09', '0.15', '8.26', '16.19'];['.007', '.086', '.031', '.004', '.122', '.044', '.028', '.098', '.020', '.250', '.819', '.045', '.697', '.004', '.001'];[];[];[];[];[' p = .001', ' p = .88', ' p = .035', ' p = .001', ' p = .66', ' p < .001', ' p = .39', ' p < .001', ' p = .001', ' p = .12', ' p = .007', ' p = .086', ' p = .031', ' p = .001', ' p = .49', ' p = .003', ' p = .001', ' p = .43', ' p < .001', ' p = .003', ' p = .004', ' p = .122', ' p = .044', ' p = .028', ' p = .098', ' p = .428', ' p < .001', ' p < .001', ' p < .001', ' p < .001', ' p < .001', '(p = .034', ' p = .020', ' p = .009', ' p = .044', ' p =.284', ' p = .009', ' p = .36', ' p = .78', ' p = .044', ' p = .250', ' p = .819', ' p = .090', ' p = .045', ' p = .697', '(p > .50', ' p = .018', ' p = .035', ' p < .001', ' p = .03', ' p = .25', ' p = .02', ' p = .004', ' p < .001', ' p = .005'];['.001', '.88', '.035', '.001', '.66', '.001', '.39', '.001', '.001', '.12', '.007', '.086', '.031', '.001', '.49', '.003', '.001', '.43', '.001', '.003', '.004', '.122', '.044', '.028', '.098', '.428', '.001', '.001', '.001', '.001', '.001', '.034', '.020', '.009', '.044', '.284', '.009', '.36', '.78', '.044', '.250', '.819', '.090', '.045', '.697', '.50', '.018', '.035', '.001', '.03', '.25', '.02', '.004', '.001', '.005'];['d =', 'd =', 'd =', 'd =', 'd ='];['mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk', 'mturk'];[];[];['study 1', 'study 1', 'study 1', 'study 2', 'study 3', 'study 4', 'study 5', 'study 2', 'study 3', 'study 4', 'study 5', 'study 4', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 2', 'study 2', 'study 3', 'study 3', 'study 4', 'study 4', 'study 1', 'study 3', 'study 4', 'study 4', 'study 5', 'study 5', 'study 4', 'study 1', 'study 1', 'study 5', 'study 2', 'study 3', 'study 1', 'study 1', 'study 1', 'study 2', 'study 3', 'study 4', 'study 5', 'study 1', 'study 2', 'study 4', 'study 2', 'study 1', 'study 2', 'study 1', 'study 1', 'study 3', 'study 4', 'study 5', 'study 2', 'study 2', 'study 4', 'study 5'];[];JCR;16;6;JCR1606\document(8).pdf.txt
['f(1, 138) = 5.46, p = .021', 'f(1, 138)= 7.32, p= .008', 'f(1, 136)= 4.45, p= .037', 'f(1, 133)= 5.57, p= .020', 'f(1, 118)= 13.2, p < .001', 'f(1, 118)= 6.97, p= .010', 'f(1, 116)= 14.44, p < .001', 'f(1, 112)= 14.48, p < .001', 'f(1, 116)= 8.47, p= .004', 'f(1, 290)= 13.29, p < .001', 'f(1, 286)= 13.33, p < .001', 'f(1, 144)= 4.85, p= .029', 'f(1, 127)= 0.22, p= .64', 'f(1, 127)= 5.28, p= .023', 'f(1, 123)= 5.17, p= .025', 'f(1, 127) = 6.20, p = .014', 'f(1, 127) = 8.37, p = .004', 'f(1, 127) = 7.48, p = .007', 'f(1, 127) = 4.47, p = .037', 'f(1, 127) = 0.43, p = .511', 'f(1, 121)= 11.16, p= .001', 'f(1, 117)= 14.91, p < .001', 'f(1, 123)= 6.17, p= .014', 'f(1, 121)= 20.8, p < .001', 'f(1, 117)= 18.74, p < .001'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['138', '138', '136', '133', '118', '118', '116', '112', '116', '290', '286', '144', '127', '127', '123', '127', '127', '127', '127', '127', '121', '117', '123', '121', '117'];['5.46', '7.32', '4.45', '5.57', '13.2', '6.97', '14.44', '14.48', '8.47', '13.29', '13.33', '4.85', '0.22', '5.28', '5.17', '6.20', '8.37', '7.48', '4.47', '0.43', '11.16', '14.91', '6.17', '20.8', '18.74'];['.021', '.008', '.037', '.020', '.001', '.010', '.001', '.001', '.004', '.001', '.001', '.029', '.64', '.023', '.025', '.014', '.004', '.007', '.037', '.511', '.001', '.001', '.014', '.001', '.001'];['t(138)= 4.01, p < .001', 't(98)= 3.06, p= .003', 't(112)= 4.05, p < .001', 't(112)= 1.09, p= .28', 't(146)= 2.72, p= .007', 't(144)= 1.97, p= .05', 't(127)= 2.66, p= .009', 't(121)= 2.96, p= .004', 't(121)= 3.88, p < .001'];['138', '98', '112', '112', '146', '144', '127', '121', '121'];['4.01', '3.06', '4.05', '1.09', '2.72', '1.97', '2.66', '2.96', '3.88'];['.001', '.003', '.001', '.28', '.007', '.05', '.009', '.004', '.001'];[' p < .001', ' p < .001', ' p = .021', '(p = .78', ' p < .001', ' p < .001', ' p < .001', ' p < .001', ' p < .001', ' p < .001', ' p < .001', ' p < .001', ' p < .001', ' p < .001', ' p = .014', ' p = .004', ' p = .007', ' p = .037', ' p = .511', ' p = .448', ' p = .731', ' p = .342', ' p = .703', ' p = .606', ' p = .001', ' p = .002', ' p = .008', ' p = .031', ' p = .674', ' p < .001', ' p < .001', ' p < .001', '(p > .2', ' p < .001', ' p < .001', ' p < .001', ' p < .001'];['.001', '.001', '.021', '.78', '.001', '.001', '.001', '.001', '.001', '.001', '.001', '.001', '.001', '.001', '.014', '.004', '.007', '.037', '.511', '.448', '.731', '.342', '.703', '.606', '.001', '.002', '.008', '.031', '.674', '.001', '.001', '.001', '.2', '.001', '.001', '.001', '.001'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];[];[];[];['study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 2', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 2', 'study 3', 'study 2', 'study 2', 'study 3', 'study 2', 'study 3', 'study 3', 'study 4', 'study 4', 'study 1', 'study 3', 'study 4', 'study 4', 'study 3', 'study 4', 'study 4', 'study 4', 'study 4', 'study 4', 'study 1'];[];JCR;16;6;JCR1606\document(9).pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCR;17;1;JCR1701\ucw071.pdf.txt
